[2] Scale-sensitive fractal analysis: b10s4_bottom_d
2019/06/06	11:24:49

Scale of analysis	Relative area	Fractal complexity	R2	
µm²				
1.45597	1.36469	-10.3706	0.474678	
1.55767	1.36772	-11.258	0.545422	
1.66648	1.37134	-12.3098	0.609265	
1.78288	1.37504	-13.465	0.66246	
1.90742	1.37905	-13.6749	0.698745	
2.04065	1.38324	-14.0774	0.734374	
2.1832	1.37845	-14.621	0.766161	
2.33569	1.38156	-15.2235	0.792989	
2.49884	1.38253	-15.8566	0.815235	
2.67339	1.38487	-16.5231	0.833389	
2.86013	1.3877	-16.3259	0.843982	
3.05991	1.39118	-16.2998	0.856951	
3.27365	1.37334	-16.408	0.870172	
3.50232	1.37648	-16.5882	0.882278	
3.74696	1.37975	-16.5273	0.891002	
4.00868	1.38333	-16.5523	0.899908	
4.28869	1.38713	-16.6596	0.908407	
4.58826	1.39084	-16.804	0.916039	
4.90876	1.39437	-16.8248	0.915994	
5.25164	1.39811	-16.955	0.915911	
5.61847	1.40201	-16.8877	0.914992	
6.01092	1.39805	-16.9807	0.916502	
6.43079	1.40145	-17.0962	0.9194	
6.87999	1.405	-17.4053	0.928398	
7.36056	1.40823	-17.4122	0.928521	
7.8747	1.41145	-17.5024	0.930425	
8.42476	1.41494	-17.5674	0.931761	
9.01324	1.40709	-17.4953	0.929709	
9.64282	1.41048	-17.4236	0.927278	
10.3164	1.41395	-17.4416	0.927981	
11.037	1.41696	-16.4305	0.924419	
11.8079	1.41503	-15.4246	0.921159	
12.6327	1.41795	-14.4529	0.918707	
13.5151	1.42119	-13.3861	0.907404	
14.4592	1.42389	-12.3799	0.892666	
15.4692	1.42643	-11.4151	0.871462	
16.5497	1.42901	-10.5374	0.84669	
17.7057	1.4247	-9.72551	0.813428	
18.9425	1.42708	-8.88918	0.757012	
20.2656	1.42625	-7.72979	0.697351	
21.6812	1.42841	-6.63493	0.62201	
23.1956	1.43023	-5.6187	0.529325	
24.8159	1.43162	-4.6204	0.411759	
26.5493	1.43304	-3.69236	0.289532	
28.4038	1.43072	-2.81372	0.173721	
30.3878	1.43037	-1.41007	0.0519789	
32.5104	1.43095	-0.0450213	5.6615e-05	
34.7813	1.43199	1.1777	0.0378774	
37.2108	1.43215	2.35841	0.134866	
39.81	1.4326	3.82434	0.299437	
42.5908	1.4299	5.28738	0.450201	
45.5658	1.42977	6.6657	0.559693	
48.7486	1.42911	7.98589	0.635446	
52.1537	1.42931	9.26625	0.685403	
55.7967	1.42868	10.4979	0.716538	
59.6941	1.42578	12.0149	0.766929	
63.8638	1.42494	13.3217	0.806232	
68.3248	1.42418	14.767	0.843867	
73.0973	1.4233	16.0443	0.872513	
78.2032	1.42128	17.2777	0.892253	
83.6658	1.42003	18.5145	0.90521	
89.5099	1.41782	19.7352	0.912868	
95.7623	1.41579	21.0236	0.925295	
102.451	1.41347	22.3158	0.937196	
109.608	1.41283	23.4913	0.947742	
117.264	1.41042	24.6467	0.95448	
125.455	1.40638	25.773	0.959672	
134.218	1.40286	26.8161	0.963514	
143.593	1.40028	27.7962	0.970307	
153.623	1.3974	28.8447	0.974801	
164.354	1.39401	29.8762	0.978578	
175.834	1.39043	30.9687	0.979721	
188.117	1.38701	31.8811	0.981756	
201.257	1.38651	32.9851	0.983595	
215.315	1.38229	33.9752	0.985673	
230.354	1.38083	35.0358	0.986237	
246.445	1.37708	35.8222	0.987902	
263.659	1.37254	37.0302	0.986216	
282.076	1.36802	37.6657	0.987955	
301.779	1.36531	38.3231	0.989437	
322.859	1.36184	39.3952	0.988233	
345.411	1.35958	40.2923	0.988521	
369.538	1.35483	41.0547	0.988471	
395.351	1.35082	42.1117	0.986335	
422.966	1.34733	42.8438	0.987131	
452.511	1.34636	43.9412	0.98651	
484.119	1.34043	44.9219	0.986701	
517.935	1.33633	45.6978	0.987764	
554.114	1.32971	46.8545	0.987367	
592.819	1.32808	47.8237	0.988441	
634.228	1.32164	48.9604	0.989096	
678.529	1.3187	49.6793	0.990005	
725.925	1.31214	50.3827	0.991187	
776.632	1.31178	51.3225	0.990909	
830.88	1.29966	52.2105	0.991024	
888.918	1.3046	53.1554	0.9914	
951.01	1.29984	53.7718	0.992697	
1017.44	1.28759	54.4458	0.993619	
1088.51	1.28583	55.6834	0.992612	
1164.54	1.28175	56.5088	0.992817	
1245.88	1.27141	57.7301	0.991945	
1332.91	1.27337	58.4766	0.992724	
1426.02	1.26276	58.8906	0.993491	
1525.62	1.2595	59.7836	0.992674	
1632.19	1.25805	60.7154	0.99233	
1746.2	1.24677	61.4133	0.992555	
1868.17	1.2453	61.9389	0.993364	
1998.67	1.23754	62.8258	0.992954	
2138.28	1.23704	63.1342	0.993513	
2287.64	1.23301	63.6607	0.993811	
2447.43	1.22202	64.3925	0.99423	
2618.39	1.21766	64.8353	0.994235	
2801.28	1.21214	65.4889	0.995312	
2996.95	1.21316	65.7504	0.995236	
3206.29	1.20615	65.4686	0.99499	
3430.26	1.19107	66.7914	0.993397	
3669.86	1.19074	68.003	0.991567	
3926.21	1.17923	68.343	0.991733	
4200.46	1.18125	68.8616	0.992505	
4493.86	1.18073	69.3504	0.992308	
4807.76	1.16456	69.7809	0.992827	
5143.59	1.15943	70.3414	0.993044	
5502.87	1.15715	69.7605	0.991938	
5887.25	1.15626	70.6296	0.992006	
6298.48	1.14241	71.2066	0.991906	
6738.44	1.14756	71.2585	0.991991	
7209.12	1.13723	70.1592	0.988926	
7712.68	1.13004	69.7463	0.988695	
8251.42	1.12508	69.8791	0.988786	
8827.79	1.12262	70.1067	0.988821	
9444.42	1.11471	69.9318	0.988636	
10104.1	1.11729	69.441	0.988741	
10809.9	1.09339	68.4921	0.987813	
11565	1.08621	67.7567	0.985541	
12372.8	1.09252	66.2107	0.980254	
13237.1	1.08886	64.7294	0.972761	
14161.7	1.07768	63.4099	0.970002	
15150.9	1.07754	61.6785	0.968028	
16209.2	1.06849	60.3681	0.963533	
17341.4	1.07678	58.9249	0.958241	
18552.7	1.05527	57.0419	0.95126	
19848.7	1.05062	54.4235	0.940798	
21235.1	1.0549	52.2258	0.927281	
22718.4	1.06269	49.4838	0.918962	
24305.3	1.04665	47.4429	0.914454	
26003	1.03841	44.8573	0.900587	
27819.4	1.03102	41.7357	0.876199	
29762.6	1.03178	38.7661	0.860803	
31841.5	1.02573	36.6398	0.856771	
34065.7	1.02856	34.0217	0.864743	
36445.2	1.02951	32.2384	0.849709	
38990.9	1.03282	30.7246	0.833974	
41714.5	1.03385	28.9958	0.833565	
44628.3	1.02168	26.9351	0.830787	
47745.6	1.0194	25.4103	0.822684	
51080.7	1.01939	23.6147	0.819067	
54648.7	1.01809	22.2617	0.811688	
58466	1.01878	20.0877	0.835219	
62549.8	1.02261	19.1909	0.827154	
66919	1.02216	18.4699	0.818003	
71593.4	1.01851	17.2182	0.81385	
76594.2	1.01102	15.265	0.867847	
81944.4	1.01864	14.1807	0.875669	
87668.3	1.02493	13.5234	0.869293	
93792	1.0195	13.2605	0.860916	
100343	1.00921	12.7013	0.84149	
107353	1.00787	12.175	0.803814	
114851	1.01292	11.3155	0.748373	
122874	1.01156	10.6188	0.717414	
131456	1.00423	9.79529	0.703422	
140639	1.00755	8.81617	0.704167	
150463	1.00631	8.52284	0.686816	
160973	1.00626	8.29762	0.670398	
172217	1.00488	8.10583	0.657919	
184246	1.00472	7.92169	0.644422	
197116	1.0039	7.63266	0.624612	
210885	1.00315	7.02928	0.598816	
225615	1.00365	6.36992	0.571374	
241374	1.00287	5.93018	0.545376	
258235	1.00325	5.96197	0.548931	
276273	1.00307	5.38402	0.515855	
295570	1.003	4.29982	0.541213	
316216	1.00481	3.46379	0.560012	
338304	1.00905	3.39274	0.52963	
361935	1.0099	3.40029	0.508387	
387217	1.00549	2.94114	0.466991	
414264	1.00249	2.49612	0.417808	
443201	1.00189	2.68238	0.438587	
474159	1.00286	2.52857	0.391141	
507279	1.00316	2.4638	0.355266	
542713	1.00175	2.36941	0.315126	
580622	1.00197	2.41697	0.299788	
621179	1.00181	2.47547	0.285724	
664569	1.0013	2.6549	0.292628	
710990	1.00131	2.98582	0.325794	
760653	1.00078	3.28079	0.345514	
813785	1.00088	3.78547	0.400004	
870629	1.00097	4.30919	0.448033	
931443	1.00061	4.98815	0.514678	
996505	1.00131	5.84254	0.600214	
