[2] Scale-sensitive fractal analysis: b10s4_bottom_c
2019/06/06	11:24:05

Scale of analysis	Relative area	Fractal complexity	R2	
µm²				
1.45597	1.37357	-10.8553	0.47211	
1.55767	1.37668	-11.7502	0.542286	
1.66648	1.3805	-12.8454	0.606437	
1.78288	1.3843	-14.0698	0.660007	
1.90742	1.38854	-14.3038	0.696771	
2.04065	1.39283	-14.743	0.732786	
2.1832	1.38836	-15.3372	0.764806	
2.33569	1.39151	-15.9893	0.791733	
2.49884	1.39247	-16.6993	0.813785	
2.67339	1.39504	-17.432	0.831796	
2.86013	1.39792	-17.2214	0.842419	
3.05991	1.40159	-17.1969	0.855542	
3.27365	1.38278	-17.3343	0.869046	
3.50232	1.38589	-17.5505	0.881303	
3.74696	1.38929	-17.5021	0.890318	
4.00868	1.39306	-17.5582	0.899513	
4.28869	1.39712	-17.6804	0.908068	
4.58826	1.40104	-17.8515	0.915715	
4.90876	1.40463	-17.9199	0.915551	
5.25164	1.4087	-18.0926	0.915413	
5.61847	1.41295	-18.0657	0.915085	
6.01092	1.40879	-18.2185	0.917207	
6.43079	1.41244	-18.3826	0.92087	
6.87999	1.41629	-18.7425	0.930116	
7.36056	1.41973	-18.8229	0.931417	
7.8747	1.42348	-19.0119	0.934832	
8.42476	1.42713	-19.1687	0.937587	
9.01324	1.41844	-19.1637	0.93746	
9.64282	1.42212	-19.1407	0.936763	
10.3164	1.42612	-19.2492	0.940388	
11.037	1.42944	-18.2701	0.938101	
11.8079	1.42729	-17.3184	0.937495	
12.6327	1.43072	-16.3798	0.937139	
13.5151	1.43386	-15.2955	0.927713	
14.4592	1.43697	-14.2941	0.916611	
15.4692	1.44002	-13.383	0.903826	
16.5497	1.4427	-12.5118	0.886523	
17.7057	1.43836	-11.7203	0.863653	
18.9425	1.44132	-10.9602	0.828824	
20.2656	1.4403	-9.82678	0.792224	
21.6812	1.4427	-8.75399	0.745048	
23.1956	1.44489	-7.77448	0.68681	
24.8159	1.44704	-6.73499	0.593305	
26.5493	1.44865	-5.75045	0.481025	
28.4038	1.44587	-4.87672	0.370173	
30.3878	1.44538	-3.44584	0.233793	
32.5104	1.44692	-2.02332	0.0954484	
34.7813	1.44801	-0.689177	0.0118269	
37.2108	1.44905	0.681224	0.0107068	
39.81	1.44936	2.24912	0.108086	
42.5908	1.44582	3.71749	0.253061	
45.5658	1.44622	5.10717	0.392598	
48.7486	1.44673	6.46522	0.50185	
52.1537	1.44635	7.76224	0.578433	
55.7967	1.44605	8.90234	0.63325	
59.6941	1.4443	10.3934	0.70758	
63.8638	1.44304	11.721	0.760078	
68.3248	1.44237	13.2567	0.809516	
73.0973	1.44189	14.6348	0.846483	
78.2032	1.43849	15.9936	0.870655	
83.6658	1.43671	17.2964	0.885922	
89.5099	1.43584	18.516	0.896674	
95.7623	1.4343	19.8289	0.913702	
102.451	1.43148	21.1349	0.930641	
109.608	1.42957	22.519	0.939868	
117.264	1.42552	23.8172	0.946873	
125.455	1.42357	25.0609	0.951266	
134.218	1.42175	26.0874	0.95669	
143.593	1.41951	27.338	0.963899	
153.623	1.41605	28.3904	0.970654	
164.354	1.41289	29.6308	0.972713	
175.834	1.41166	30.8262	0.974493	
188.117	1.40734	31.952	0.97595	
201.257	1.40574	33.1863	0.976814	
215.315	1.40058	34.2659	0.97912	
230.354	1.39894	35.1287	0.981777	
246.445	1.39455	36.0364	0.982896	
263.659	1.39057	37.1549	0.983725	
282.076	1.38731	38.2646	0.984614	
301.779	1.38477	39.3089	0.985089	
322.859	1.38189	40.0648	0.98658	
345.411	1.37517	41.2767	0.985569	
369.538	1.37163	42.3259	0.985716	
395.351	1.36728	43.365	0.987033	
422.966	1.36651	44.2489	0.988601	
452.511	1.36099	45.1625	0.989521	
484.119	1.35958	45.7154	0.990915	
517.935	1.35053	47.1061	0.988655	
554.114	1.34631	48.2521	0.988755	
592.819	1.34227	49.0892	0.989354	
634.228	1.33605	49.9551	0.990283	
678.529	1.3341	50.8335	0.990451	
725.925	1.3327	51.9335	0.99056	
776.632	1.32614	52.574	0.991355	
830.88	1.31898	53.5826	0.991397	
888.918	1.31416	54.4895	0.991989	
951.01	1.30933	55.4713	0.992209	
1017.44	1.30907	56.6486	0.991204	
1088.51	1.29636	57.9397	0.989422	
1164.54	1.29363	59.0239	0.989965	
1245.88	1.29009	60.2968	0.989784	
1332.91	1.28723	61.7063	0.989413	
1426.02	1.28083	62.3474	0.990057	
1525.62	1.28165	63.5546	0.989734	
1632.19	1.26218	64.2476	0.989946	
1746.2	1.26101	65.3421	0.990539	
1868.17	1.25926	66.5036	0.990965	
1998.67	1.25438	67.433	0.991768	
2138.28	1.2472	68.0366	0.993016	
2287.64	1.23938	68.8472	0.993617	
2447.43	1.24008	68.9335	0.993743	
2618.39	1.22899	69.1528	0.99404	
2801.28	1.22536	69.9114	0.994451	
2996.95	1.21801	70.8976	0.994441	
3206.29	1.20771	71.1172	0.994803	
3430.26	1.19874	71.5768	0.994682	
3669.86	1.19842	72.0916	0.995412	
3926.21	1.18882	73.1814	0.994944	
4200.46	1.18054	73.3961	0.995165	
4493.86	1.18391	73.6464	0.995218	
4807.76	1.16958	74.7177	0.993828	
5143.59	1.16897	74.5592	0.993878	
5502.87	1.16022	75.4213	0.994541	
5887.25	1.15263	76.0513	0.994714	
6298.48	1.14957	75.3618	0.993405	
6738.44	1.15004	74.2851	0.991016	
7209.12	1.13837	72.578	0.98487	
7712.68	1.1407	72.0475	0.984142	
8251.42	1.13409	71.0493	0.983697	
8827.79	1.12155	70.5639	0.983512	
9444.42	1.11163	69.6781	0.983122	
10104.1	1.11712	68.5742	0.981969	
10809.9	1.1032	67.2534	0.978544	
11565	1.10263	66.8144	0.97799	
12372.8	1.08574	65.6138	0.976346	
13237.1	1.09118	64.5474	0.974183	
14161.7	1.08248	63.4729	0.971171	
15150.9	1.06471	61.9043	0.969803	
16209.2	1.071	60.8857	0.967663	
17341.4	1.06159	59.1707	0.96398	
18552.7	1.05533	57.6062	0.959796	
19848.7	1.06563	55.8832	0.952992	
21235.1	1.06539	54.2796	0.949116	
22718.4	1.07117	52.0014	0.945117	
24305.3	1.05104	49.9619	0.937991	
26003	1.0472	47.237	0.933209	
27819.4	1.03916	43.9952	0.920132	
29762.6	1.03806	41.2744	0.904304	
31841.5	1.03776	38.9724	0.887652	
34065.7	1.04051	35.7719	0.874174	
36445.2	1.02668	33.8121	0.868002	
38990.9	1.02871	31.0995	0.856613	
41714.5	1.02627	29.4395	0.8407	
44628.3	1.02511	27.389	0.838839	
47745.6	1.02069	25.8705	0.838048	
51080.7	1.01699	25.3042	0.830795	
54648.7	1.01923	24.1573	0.825321	
58466	1.01695	23.3574	0.815409	
62549.8	1.01843	22.8521	0.80706	
66919	1.01217	21.4551	0.802021	
71593.4	1.01383	19.7812	0.802821	
76594.2	1.01384	17.4409	0.854645	
81944.4	1.01459	16.2093	0.855861	
87668.3	1.02129	15.1386	0.859251	
93792	1.01948	14.4459	0.850783	
100343	1.0173	13.7532	0.84492	
107353	1.01965	12.9592	0.842886	
114851	1.00982	11.7102	0.860835	
122874	1.01591	11.3126	0.847307	
131456	1.01247	10.6385	0.831378	
140639	1.00856	10.0246	0.811379	
150463	1.00483	9.45288	0.793688	
160973	1.00448	9.10011	0.7743	
172217	1.00305	8.87633	0.755869	
184246	1.00362	8.52038	0.734323	
197116	1.00239	8.29894	0.718691	
210885	1.00173	7.91595	0.695841	
225615	1.00225	7.92328	0.696568	
241374	1.00238	7.76466	0.682622	
258235	1.00284	7.53037	0.661606	
276273	1.00168	7.06929	0.617499	
295570	1.00186	6.13893	0.577219	
316216	1.00083	5.30213	0.540179	
338304	1.00042	4.73541	0.501926	
361935	1.00192	3.83773	0.496483	
387217	1.00179	3.60589	0.451856	
414264	1.00218	2.72761	0.456289	
443201	1.0023	1.99012	0.498722	
474159	1.00151	1.49702	0.541852	
507279	1.00161	1.31395	0.493735	
542713	1.00252	1.12066	0.437702	
580622	1.00121	1.06355	0.389018	
621179	1.00063	0.897048	0.315098	
664569	1.00043	0.872397	0.278471	
710990	1.00037	0.946666	0.289922	
760653	1.0003	0.930369	0.256703	
813785	1.00058	0.869377	0.209391	
870629	1.00224	0.66543	0.12864	
931443	1.0012	0.681005	0.117074	
996505	1.00059	0.636045	0.0897841	
