[2] Scale-sensitive fractal analysis: b10s4_bottom_b
2019/06/06	11:23:18

Scale of analysis	Relative area	Fractal complexity	R2	
µm²				
1.45597	1.4191	-11.3125	0.48814	
1.55767	1.42208	-12.0307	0.553019	
1.66648	1.42574	-12.995	0.614694	
1.78288	1.42947	-14.1311	0.667227	
1.90742	1.43365	-14.4677	0.705542	
2.04065	1.43792	-14.9721	0.741325	
2.1832	1.43619	-15.618	0.77236	
2.33569	1.43933	-16.3155	0.798135	
2.49884	1.44001	-17.0684	0.819008	
2.67339	1.44234	-17.8514	0.835831	
2.86013	1.44517	-17.6182	0.845805	
3.05991	1.44864	-17.587	0.8586	
3.27365	1.42966	-17.7236	0.871824	
3.50232	1.43263	-17.9701	0.883841	
3.74696	1.43591	-17.9869	0.893445	
4.00868	1.43942	-18.1017	0.902706	
4.28869	1.44338	-18.2999	0.91102	
4.58826	1.44721	-18.5399	0.918213	
4.90876	1.45088	-18.7087	0.917568	
5.25164	1.45508	-18.9867	0.916783	
5.61847	1.45956	-18.9978	0.916895	
6.01092	1.45666	-19.1977	0.919024	
6.43079	1.46034	-19.3879	0.922465	
6.87999	1.46436	-19.773	0.930358	
7.36056	1.46799	-20.0473	0.934495	
7.8747	1.47199	-20.4377	0.940896	
8.42476	1.47601	-20.8013	0.946399	
9.01324	1.46622	-20.9547	0.949804	
9.64282	1.47023	-21.0945	0.95339	
10.3164	1.47447	-21.3557	0.960589	
11.037	1.47846	-20.5633	0.959405	
11.8079	1.47698	-19.818	0.959992	
12.6327	1.48066	-19.0951	0.961226	
13.5151	1.48451	-18.1782	0.95683	
14.4592	1.4879	-17.3437	0.952546	
15.4692	1.49158	-16.5927	0.948296	
16.5497	1.49495	-15.8908	0.94288	
17.7057	1.48962	-15.1841	0.931836	
18.9425	1.49334	-14.439	0.910463	
20.2656	1.49236	-13.4304	0.891783	
21.6812	1.4953	-12.4911	0.870428	
23.1956	1.4983	-11.6069	0.842147	
24.8159	1.50104	-10.6935	0.798847	
26.5493	1.50343	-9.8628	0.747979	
28.4038	1.50019	-9.08951	0.686843	
30.3878	1.50026	-7.69044	0.616862	
32.5104	1.50233	-6.28501	0.51505	
34.7813	1.50409	-4.89405	0.378156	
37.2108	1.50628	-3.57674	0.232693	
39.81	1.50756	-1.93669	0.079045	
42.5908	1.50384	-0.579641	0.00797461	
45.5658	1.50509	0.770456	0.0139602	
48.7486	1.50636	2.2471	0.0988422	
52.1537	1.50692	3.63721	0.206197	
55.7967	1.50555	4.80483	0.298802	
59.6941	1.50286	6.32609	0.43341	
63.8638	1.50299	7.81775	0.53642	
68.3248	1.50323	9.52152	0.636465	
73.0973	1.50258	11.171	0.708031	
78.2032	1.5003	12.7622	0.756744	
83.6658	1.49966	14.1415	0.793926	
89.5099	1.49819	15.5213	0.8179	
95.7623	1.49677	17.2336	0.846135	
102.451	1.49413	18.9723	0.872838	
109.608	1.49129	20.5633	0.894223	
117.264	1.48959	22.079	0.910173	
125.455	1.48501	23.5419	0.919912	
134.218	1.48753	24.8408	0.928325	
143.593	1.484	26.2878	0.940888	
153.623	1.47774	27.7028	0.949577	
164.354	1.47509	29.0795	0.954914	
175.834	1.47525	30.3053	0.95964	
188.117	1.47228	31.8163	0.961204	
201.257	1.46801	33.0896	0.967867	
215.315	1.46315	34.4323	0.971919	
230.354	1.45952	35.3804	0.976556	
246.445	1.45556	36.3551	0.979844	
263.659	1.45464	37.6807	0.980879	
282.076	1.4495	38.8477	0.982281	
301.779	1.44287	40.2028	0.981722	
322.859	1.43896	41.2046	0.983363	
345.411	1.43635	42.265	0.9848	
369.538	1.43231	43.007	0.987331	
395.351	1.42707	44.0618	0.98819	
422.966	1.42458	45.6196	0.987036	
452.511	1.42057	46.2115	0.988092	
484.119	1.41522	47.2224	0.987781	
517.935	1.40961	48.2933	0.988896	
554.114	1.40657	48.8766	0.990684	
592.819	1.39656	49.7966	0.99041	
634.228	1.39774	51.2314	0.986712	
678.529	1.3903	52.5299	0.985125	
725.925	1.39147	53.3199	0.98629	
776.632	1.38527	54.8894	0.984002	
830.88	1.37403	56.141	0.98417	
888.918	1.37064	57.0363	0.984533	
951.01	1.36118	57.7261	0.985512	
1017.44	1.36169	58.6126	0.986871	
1088.51	1.35554	59.8875	0.987176	
1164.54	1.35663	61.4001	0.985994	
1245.88	1.34476	62.5248	0.98654	
1332.91	1.33152	63.9829	0.986403	
1426.02	1.33884	65.4653	0.985662	
1525.62	1.32602	66.314	0.986585	
1632.19	1.32206	67.1656	0.987595	
1746.2	1.32505	68.517	0.987839	
1868.17	1.31029	69.6565	0.988213	
1998.67	1.29448	71.5467	0.988192	
2138.28	1.29118	73.186	0.98719	
2287.64	1.29528	74.7653	0.987539	
2447.43	1.27523	75.425	0.988026	
2618.39	1.27453	76.0859	0.988544	
2801.28	1.27187	77.5896	0.989054	
2996.95	1.27029	77.9336	0.989779	
3206.29	1.26307	79.0278	0.991325	
3430.26	1.24993	79.8979	0.991856	
3669.86	1.23782	80.5982	0.992513	
3926.21	1.23749	80.8488	0.992584	
4200.46	1.22586	82.551	0.990688	
4493.86	1.21678	83.9017	0.992007	
4807.76	1.22006	84.695	0.991637	
5143.59	1.21398	84.9671	0.992028	
5502.87	1.19962	85.2091	0.992262	
5887.25	1.19459	84.8551	0.992237	
6298.48	1.17952	84.7813	0.992174	
6738.44	1.17098	85.0397	0.992662	
7209.12	1.16641	84.3195	0.990643	
7712.68	1.16853	83.7406	0.990381	
8251.42	1.16205	83.6963	0.990296	
8827.79	1.14629	84.0346	0.990351	
9444.42	1.15596	83.4989	0.98996	
10104.1	1.14065	82.3432	0.989375	
10809.9	1.132	80.9133	0.9884	
11565	1.12785	79.4366	0.985859	
12372.8	1.12191	78.7841	0.985086	
13237.1	1.097	76.5302	0.979353	
14161.7	1.10082	75.0967	0.976716	
15150.9	1.09086	74.0059	0.975	
16209.2	1.0969	71.8707	0.972881	
17341.4	1.08864	69.7473	0.972293	
18552.7	1.08281	67.7919	0.969259	
19848.7	1.0785	65.217	0.963488	
21235.1	1.07494	63.1446	0.956388	
22718.4	1.08103	61.7384	0.953062	
24305.3	1.06407	59.8083	0.94681	
26003	1.06127	57.5808	0.945037	
27819.4	1.0448	54.9584	0.940906	
29762.6	1.04785	52.6451	0.930651	
31841.5	1.04649	49.0501	0.92578	
34065.7	1.04495	46.2991	0.920975	
36445.2	1.04557	44.107	0.920657	
38990.9	1.03321	41.5433	0.920292	
41714.5	1.04606	38.3812	0.911211	
44628.3	1.03409	36.6345	0.892328	
47745.6	1.02688	34.4452	0.876974	
51080.7	1.02891	32.6993	0.859736	
54648.7	1.02387	30.6818	0.857981	
58466	1.02408	28.8148	0.851684	
62549.8	1.02811	26.973	0.842254	
66919	1.02553	25.3742	0.838163	
71593.4	1.01535	23.7264	0.83491	
76594.2	1.01858	21.5629	0.867797	
81944.4	1.01281	20.2609	0.873461	
87668.3	1.01593	18.8862	0.883121	
93792	1.01814	18.499	0.877118	
100343	1.02049	17.4944	0.862728	
107353	1.01521	16.6645	0.857337	
114851	1.00842	15.7744	0.852658	
122874	1.01079	14.6497	0.855327	
131456	1.01854	14.0549	0.835127	
140639	1.01652	12.6318	0.869032	
150463	1.01461	11.857	0.864528	
160973	1.01313	11.4654	0.851631	
172217	1.00672	10.7947	0.83642	
184246	1.00755	10.4662	0.823798	
197116	1.00833	10.0531	0.809828	
210885	1.0049	9.22749	0.803665	
225615	1.00493	8.48594	0.795566	
241374	1.00229	8.33362	0.782703	
258235	1.00237	7.863	0.753243	
276273	1.00268	7.84649	0.751674	
295570	1.0019	7.5533	0.731001	
316216	1.00511	6.99038	0.699193	
338304	1.00154	6.43863	0.68255	
361935	1.00137	6.18034	0.652857	
387217	1.00157	6.43416	0.657703	
414264	1.00412	6.47446	0.638995	
443201	1.00109	5.69846	0.622299	
474159	1.00151	4.92553	0.607918	
507279	1.0016	4.15764	0.600723	
542713	1.002	3.35489	0.630863	
580622	1.00078	3.18906	0.588222	
621179	1.00042	2.82592	0.539278	
664569	1.00074	2.20834	0.525305	
710990	1.00062	1.98772	0.461931	
760653	1.00138	1.66894	0.385138	
813785	1.00172	1.7825	0.387845	
870629	1.00031	1.88714	0.383441	
931443	1.00025	1.91657	0.354969	
996505	1.00085	2.14505	0.380083	
